vehicle_id,company,region,brand,area_name,composite_name,generation_year,generation_sales_name,sales_geo_area,body_type,body_type_sales_name,model_code,version_year,version_sales_name,vehicle_platform,market_segment,type_name,type_code_,door_count,energy_type,steering_position_type,steering_box_type,power_transoutput_type,output_power_kw,output_power_hp,sales_horse_power_hp,capacity,feature_configuration,start_of_production_from,end_of_production_to,start_of_sales_from,end_of_sales_to,emission_standard,gross_vehicle_weight,co2_emission_from,co2_emission_to,power_train_type,drive_type,drive_type_sales_name,catalyst_type,voltage_type,gearbox,engine,brake_type,brake_disc_thickness,brake_outer_diameter,rim_measurement_type,suspension_type,wheel_suspension_type,wheel_count_type,brake_name,brake_system_type,engine_reference,additional_code_engine,engine_sales_name,catalogue_display_code,aspiration_type,aspiration_intercooler,gearbox_reference,additional_code_gearbox,gearbox_sales_name,source_url_1,source_url_2,source_url_3
4A5CMY1_2024,AUDI AG,DE,Audi,A6,A6 Avant TFSI e S line 50 TFSI e quattro S tronic,2024,,,Avant TFSI e,,,,,,,S line 50 TFSI e quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,220,299,,220 kW (299 PS),,,,,,Euro 6e,2.675 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; elektromechanischer Bremskraftverstärker mit aktivem Speicher; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e.modelsinfo.mv-258.13.555255.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e.carinfo.mv-258.13.555255.json
4A5CNY1_2024,AUDI AG,DE,Audi,A6,A6 Avant TFSI e S line 55 TFSI e quattro S tronic,2024,,,Avant TFSI e,,,,,,,S line 55 TFSI e quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,270,367,,270 kW (367 PS),,,,,,Euro 6e,2.675 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; elektromechanischer Bremskraftverstärker mit aktivem Speicher; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e.modelsinfo.mv-258.13.555255.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant-tfsi-e.carinfo.mv-258.13.555255.json
4A5ADG1_2024,AUDI AG,DE,Audi,A6,A6 Avant 35 TDI S tronic,2024,,,Avant,,,,,,,35 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,120,163,,120 kW (163 PS),,,,,,Euro 6e,2.330 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5AIG1_2024,AUDI AG,DE,Audi,A6,A6 Avant 40 TDI S tronic,2024,,,Avant,,,,,,,40 TDI,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,150,204,,150 kW (204 PS),,,,,,Euro 6e,2.330 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5AIY1_2024,AUDI AG,DE,Audi,A6,A6 Avant 40 TDI quattro S tronic,2024,,,Avant,,,,,,,40 TDI quattro,,,,Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung,,,150,204,,150 kW (204 PS),,,,,,Euro 6e,2.425 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5AJY1_2024,AUDI AG,DE,Audi,A6,A6 Avant 45 TDI quattro S tronic,2024,,,Avant,,,,,,,45 TDI quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,180,245,,180 kW (245 PS),,,,,,Euro 6d-ISC-FCM,2.550 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"V6-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5A3G0_2024,AUDI AG,DE,Audi,A6,A6 Avant 45 TFSI S tronic,2024,,,Avant,,,,,,,45 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,195,265,,195 kW (265 PS),,,,,,Euro 6e,2.320 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5A3Y0_2024,AUDI AG,DE,Audi,A6,A6 Avant 45 TFSI quattro S tronic,2024,,,Avant,,,,,,,45 TFSI quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,195,265,,195 kW (265 PS),,,,,,Euro 6e,2.405 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5ALA1_2024,AUDI AG,DE,Audi,A6,A6 Avant 50 TDI quattro tiptronic,2024,,,Avant,,,,,,,50 TDI quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,210,286,,210 kW (286 PS),,,,,,Euro 6d-ISC-FCM,2.550 kg,,,,Permanenter Allradantrieb quattro mit selbstsperrendem Mittendifferenzial,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"V6-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,8-Gang tiptronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5A2Y1_2024,AUDI AG,DE,Audi,A6,A6 Avant 55 TFSI quattro S tronic,2024,,,Avant,,,,,,,55 TFSI quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,250,340,,250 kW (340 PS),,,,,,Euro 6e,2.480 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis-Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"V6-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5BDG1_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 35 TDI S tronic,2024,,,Avant,,,,,,,advanced 35 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,120,163,,120 kW (163 PS),,,,,,Euro 6e,2.330 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5BIG1_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 40 TDI S tronic,2024,,,Avant,,,,,,,advanced 40 TDI,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,150,204,,150 kW (204 PS),,,,,,Euro 6e,2.330 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5BIY1_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 40 TDI quattro S tronic,2024,,,Avant,,,,,,,advanced 40 TDI quattro,,,,Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung,,,150,204,,150 kW (204 PS),,,,,,Euro 6e,2.425 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5BJY1_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 45 TDI quattro S tronic,2024,,,Avant,,,,,,,advanced 45 TDI quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,180,245,,180 kW (245 PS),,,,,,Euro 6d-ISC-FCM,2.550 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"V6-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5B3G0_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 45 TFSI S tronic,2024,,,Avant,,,,,,,advanced 45 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,195,265,,195 kW (265 PS),,,,,,Euro 6e,2.320 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5B3Y0_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 45 TFSI quattro S tronic,2024,,,Avant,,,,,,,advanced 45 TFSI quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,195,265,,195 kW (265 PS),,,,,,Euro 6e,2.405 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5BLA1_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 50 TDI quattro tiptronic,2024,,,Avant,,,,,,,advanced 50 TDI quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,210,286,,210 kW (286 PS),,,,,,Euro 6d-ISC-FCM,2.550 kg,,,,Permanenter Allradantrieb quattro mit selbstsperrendem Mittendifferenzial,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"V6-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,8-Gang tiptronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5B2Y1_2024,AUDI AG,DE,Audi,A6,A6 Avant advanced 55 TFSI quattro S tronic,2024,,,Avant,,,,,,,advanced 55 TFSI quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,250,340,,250 kW (340 PS),,,,,,Euro 6e,2.480 kg,,,,Allradantrieb quattro mit ultra-Technologie,,,,,,"2-Kreis-Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,"V6-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5CDG1_2024,AUDI AG,DE,Audi,A6,A6 Avant S line 35 TDI S tronic,2024,,,Avant,,,,,,,S line 35 TDI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,120,163,,120 kW (163 PS),,,,,,Euro 6e,2.330 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
4A5CIG1_2024,AUDI AG,DE,Audi,A6,A6 Avant S line 40 TDI S tronic,2024,,,Avant,,,,,,,S line 40 TDI,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,1 m",,,150,204,,150 kW (204 PS),,,,,,Euro 6e,2.330 kg,,,,Vorderradantrieb,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Dieselmotor mit Common-Rail-Einspritzsystem und Abgasturboaufladung, Mild Hybrid Electric Vehicle (MHEV)",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant/motor.html,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.modelsinfo.mv-258.21.559659.json,https://www.audi.de/de/brand/de/neuwagen/a6/a6-avant.carinfo.mv-258.21.559659.json
